t_start_s,src,dst,bytes,tos
2.007,39,37,279948,0
2.0085,25,26,136530,0
2.0164,28,25,40118,0
2.0256,33,32,157715,0
2.0266,27,36,263254,0
2.034,28,15,339523,0
2.0388,30,41,48986,0
2.064,13,3,9936,0
2.0645,41,37,133179,0
2.0698,3,24,47554,0
2.07,25,36,640318,0
2.0936,13,37,505396,0
2.0954,24,5,108768,0
2.0992,9,8,226611,0
2.1037,19,23,52341,0
2.1247,40,38,229985,0
2.13,33,34,57790,0
2.1371,32,33,246879,0
2.184,30,34,132947,0
2.1848,20,27,879537,0
2.2022,38,0,98479,0
2.2027,31,33,73221,0
2.2093,4,33,505278,0
2.2096,28,26,674007,0
2.2138,1,13,28591,0
2.2156,41,39,752803,0
2.2161,22,40,378593,0
2.2196,21,26,33623,0
2.2352,23,6,204185,0
2.2427,31,32,10158,0
2.2644,37,39,65612,0
2.2726,22,21,657165,0
2.288,27,28,2682188,0
2.3017,41,5,2000,0
2.3299,22,20,89761,0
2.3464,8,7,197305,0
2.3547,10,20,80222,0
2.3606,4,1,18880,0
2.3694,8,7,130530,0
2.3836,20,23,31389,0
2.3964,8,0,15413,0
2.4067,31,32,74775,0
2.447,35,33,54704,0
2.4587,5,39,14218,0
2.477,33,41,7661,0
2.4781,28,29,104052,0
2.4789,16,13,551150,0
2.4932,10,8,24777,0
2.5043,11,8,6434,0
2.5266,13,32,32255,0
2.5296,40,1,1259981,0
2.5373,14,29,35914,0
2.5384,9,10,569909,0
2.5595,36,38,75227,0
2.5727,27,26,400849,0
2.5814,29,28,328078,0
2.588,22,2,411748,0
2.6045,35,4,74263,0
2.6218,21,20,54663,0
2.6249,8,19,27371,0
2.6269,34,32,27236,0
2.6321,22,20,1729751,0
2.6882,19,18,31211,0
2.7058,20,18,116758,0
2.7085,24,26,167802,0
2.7124,13,17,82539,0
2.7568,30,18,154820,0
2.7676,37,5,94061,0
2.7685,20,21,2676,0
2.7941,4,33,338220,0
2.7957,20,19,270605,0
2.7959,2,22,8219,0
2.8175,20,5,28961,0
2.8264,0,34,364026,0
2.8265,12,13,22132,0
2.8327,11,8,16678,0
2.833,7,4,909561,0
2.8342,11,8,348209,0
2.8364,34,35,31698,0
2.8416,39,4,12248,0
2.8534,8,24,83753,0
2.8541,14,32,36081,0
2.8551,23,20,1064325,0
2.8717,33,32,19011,0
2.8841,37,7,1473343,0
2.8864,21,30,381156,0
2.9021,26,27,179792,0
2.9054,24,30,102792,0
2.915,6,9,6949,0
2.9165,40,14,160989,0
2.9299,23,21,64303,0
2.9335,26,29,5345546,0
2.9355,4,34,941310,0
2.9356,33,4,56171,0
2.9366,14,10,150308,0
2.9665,23,22,111124,0
2.9667,31,24,380956,0
2.9749,9,19,15457,0
2.979,11,40,25639,0
2.9939,23,19,5708940,0
3.0036,11,10,63694,0
3.0163,2,20,67256,0
3.0169,33,32,7512,0
3.0236,39,10,61397,0
3.0313,38,5,30408,0
3.0379,39,40,7426,0
3.0392,0,8,70529,0
3.0552,24,1,18499,0
3.057,8,0,352980,0
3.0614,25,3,185203,0
3.0715,11,10,416494,0
3.072,17,14,770524,0
3.1114,4,2,47348,0
3.1116,28,12,3450302,0
3.1216,2,21,355190,0
3.1312,37,40,471636,0
3.1428,12,34,198338,0
3.1436,3,11,242824,0
3.1612,7,35,95622,0
3.167,32,30,105257,0
3.1832,20,19,304158,0
3.1917,37,13,356900,0
3.2021,39,26,272150,0
3.2048,31,32,64332,0
3.2048,6,12,332294,0
3.209,0,17,41409,0
3.2154,28,24,376943,0
3.2191,26,27,165242,0
3.2412,28,27,48510,0
3.2489,34,22,141316,0
3.2493,21,6,32546,0
3.2506,19,4,24407,0
3.2628,0,21,5297,0
3.2651,41,5,126867,0
3.2664,22,23,65014,0
3.2794,35,34,101945,0
3.2892,0,17,88024,0
3.2943,21,22,134590,0
