t_start_s,src,dst,bytes,tos
2.0017,39,37,279948,0
2.0021,25,26,136530,0
2.0041,28,25,40118,0
2.0064,33,32,157715,0
2.0067,27,36,263254,0
2.0085,28,15,339523,0
2.0097,30,41,48986,0
2.016,13,3,9936,0
2.0161,41,37,133179,0
2.0175,3,24,47554,0
2.0175,25,36,640318,0
2.0234,13,37,505396,0
2.0238,24,5,108768,0
2.0248,9,8,226611,0
2.0259,19,23,52341,0
2.0312,40,38,229985,0
2.0325,33,34,57790,0
2.0343,32,33,246879,0
2.046,30,34,132947,0
2.0462,20,27,879537,0
2.0505,38,0,98479,0
2.0507,31,33,73221,0
2.0523,4,33,505278,0
2.0524,28,26,674007,0
2.0534,1,13,28591,0
2.0539,41,39,752803,0
2.054,22,40,378593,0
2.0549,21,26,33623,0
2.0588,23,6,204185,0
2.0607,31,32,10158,0
2.0661,37,39,65612,0
2.0682,22,21,657165,0
2.072,27,28,2682188,0
2.0754,41,5,2000,0
2.0825,22,20,89761,0
2.0866,8,7,197305,0
2.0887,10,20,80222,0
2.0901,4,1,18880,0
2.0924,8,7,130530,0
2.0959,20,23,31389,0
2.0991,8,0,15413,0
2.1017,31,32,74775,0
2.1117,35,33,54704,0
2.1147,5,39,14218,0
2.1193,33,41,7661,0
2.1195,28,29,104052,0
2.1197,16,13,551150,0
2.1233,10,8,24777,0
2.1261,11,8,6434,0
2.1317,13,32,32255,0
2.1324,40,1,1259981,0
2.1343,14,29,35914,0
2.1346,9,10,569909,0
2.1399,36,38,75227,0
2.1432,27,26,400849,0
2.1454,29,28,328078,0
2.147,22,2,411748,0
2.1511,35,4,74263,0
2.1555,21,20,54663,0
2.1562,8,19,27371,0
2.1567,34,32,27236,0
2.158,22,20,1729751,0
2.1721,19,18,31211,0
2.1764,20,18,116758,0
2.1771,24,26,167802,0
2.1781,13,17,82539,0
2.1892,30,18,154820,0
2.1919,37,5,94061,0
2.1921,20,21,2676,0
2.1985,4,33,338220,0
2.1989,20,19,270605,0
2.199,2,22,8219,0
2.2044,20,5,28961,0
2.2066,0,34,364026,0
2.2066,12,13,22132,0
2.2082,11,8,16678,0
2.2083,7,4,909561,0
2.2085,11,8,348209,0
2.2091,34,35,31698,0
2.2104,39,4,12248,0
2.2134,8,24,83753,0
2.2135,14,32,36081,0
2.2138,23,20,1064325,0
2.2179,33,32,19011,0
2.221,37,7,1473343,0
2.2216,21,30,381156,0
2.2255,26,27,179792,0
2.2264,24,30,102792,0
2.2287,6,9,6949,0
2.2291,40,14,160989,0
2.2325,23,21,64303,0
2.2334,26,29,5345546,0
2.2339,4,34,941310,0
2.2339,33,4,56171,0
2.2342,14,10,150308,0
2.2416,23,22,111124,0
2.2417,31,24,380956,0
2.2437,9,19,15457,0
2.2447,11,40,25639,0
2.2485,23,19,5708940,0
2.2509,11,10,63694,0
2.2541,2,20,67256,0
2.2542,33,32,7512,0
2.2559,39,10,61397,0
2.2578,38,5,30408,0
2.2595,39,40,7426,0
2.2598,0,8,70529,0
2.2638,24,1,18499,0
2.2643,8,0,352980,0
2.2653,25,3,185203,0
2.2679,11,10,416494,0
2.268,17,14,770524,0
2.2778,4,2,47348,0
2.2779,28,12,3450302,0
2.2804,2,21,355190,0
2.2828,37,40,471636,0
2.2857,12,34,198338,0
2.2859,3,11,242824,0
2.2903,7,35,95622,0
2.2917,32,30,105257,0
2.2958,20,19,304158,0
2.2979,37,13,356900,0
2.3005,39,26,272150,0
2.3012,31,32,64332,0
2.3012,6,12,332294,0
2.3022,0,17,41409,0
2.3038,28,24,376943,0
2.3048,26,27,165242,0
2.3103,28,27,48510,0
2.3122,34,22,141316,0
2.3123,21,6,32546,0
2.3127,19,4,24407,0
2.3157,0,21,5297,0
2.3163,41,5,126867,0
2.3166,22,23,65014,0
2.3198,35,34,101945,0
2.3223,0,17,88024,0
2.3236,21,22,134590,0
2.3293,18,2,3671,0
2.334,15,32,77900,0
2.3376,41,36,167814,0
2.3377,24,3,171689,0
2.3408,7,22,353143,0
2.3421,35,34,374856,0
2.3424,13,15,2155824,0
2.3429,18,23,75528,0
2.3435,40,34,259792,0
2.3536,39,37,78701,0
2.3651,14,31,32694,0
2.3678,22,0,132915,0
2.3709,34,33,46793,0
2.3722,33,9,324149,0
2.3727,17,13,352599,0
2.3744,14,1,17920,0
2.3774,2,41,110295,0
2.3782,19,32,1195193,0
2.3784,23,41,1088781,0
2.38,26,29,34776,0
2.3811,22,5,197166,0
2.3821,8,10,1159886,0
2.3864,3,14,49672,0
2.3883,32,33,7231,0
2.3902,3,10,145182,0
2.3914,24,28,342131,0
2.3943,26,29,48437,0
2.3946,20,10,11433,0
2.3972,23,34,31717,0
2.4124,39,5,3302486,0
2.4141,40,19,19708,0
2.4143,35,8,19810,0
2.4146,20,19,1054860,0
2.42,40,5,101715,0
2.4227,0,30,764606,0
2.4287,33,38,70485,0
2.433,14,27,254067,0
2.4382,10,7,59540,0
2.4398,40,26,390984,0
2.44,27,3,336773,0
2.4433,13,1,48094,0
2.4453,3,11,36652,0
2.446,37,11,63327,0
2.4489,9,6,122484,0
2.4514,7,15,726129,0
2.4524,28,27,169470,0
2.4528,34,14,411384,0
2.4533,23,19,108535,0
2.4546,17,40,58389,0
2.464,37,40,34172,0
2.465,2,33,380500,0
2.4661,25,23,328646,0
2.4662,22,23,70989,0
2.4663,31,27,262876,0
2.4663,2,21,13513,0
2.4674,40,36,2000,0
2.471,24,39,120401,0
2.475,22,31,265968,0
2.4768,26,18,28469,0
2.4791,23,19,159835,0
2.4814,10,2,72439,0
2.4822,3,5,263429,0
2.4851,15,30,809865,0
2.4871,17,1,322794,0
2.49,26,21,26279,0
2.4902,9,10,51502,0
2.4916,12,32,3967,0
2.4921,31,23,27434,0
2.4922,34,31,21990,0
2.4932,24,21,37885,0
2.4944,28,26,40664,0
2.5031,34,28,13411,0
2.5043,31,35,11744,0
2.5082,23,2,431947,0
2.509,3,27,87460,0
2.51,25,27,213467,0
2.5119,28,7,429320,0
2.5137,9,11,37403,0
2.5156,18,20,284571,0
2.5159,20,41,71946,0
2.5222,22,23,54173,0
2.5222,24,29,15729,0
2.5236,37,41,80616,0
2.5259,11,10,109510,0
2.5265,40,5,491312,0
2.5288,33,30,8034,0
2.5345,4,32,1541025,0
2.5401,19,15,33092,0
2.5401,33,31,3642783,0
2.5433,31,4,39034,0
2.5461,0,7,605962,0
2.5485,23,15,49159,0
2.5502,10,18,60403,0
2.5513,16,17,34118,0
2.5545,11,7,224766,0
2.5549,1,4,165912,0
2.556,10,6,179552,0
2.5613,4,35,13376,0
2.5654,12,1,105089,0
2.5659,32,21,75534,0
2.5664,28,3,121407,0
2.5666,25,41,6960,0
2.5681,2,22,31736,0
2.5682,16,28,18774,0
2.569,8,38,268988,0
2.5724,19,23,212704,0
2.5733,0,6,71853,0
2.5734,37,35,88130,0
2.5741,16,18,393183,0
2.5762,8,6,175195,0
